MUTUAL ACTION PLAN (MAP),,,,,,,,,,,
"This document outlines the joint steps and timelines for both parties to reach an agreed partnership. Steps marked ""Y"" in the Client-Facing column are appropriate to share with the client. Steps marked ""Y"" in Forecast Milestone are tracked by the internal Ops team for financial forecasting.",,,,,,,,,,,
,,,,,,,,,,,
CLIENT & DEAL INFORMATION,,,,,,,,,,,
Client Name:,[Client Name],,,,Provider:,[Company Name],,,,
Client Primary Contact:,[Name / Title],,,,Account Executive:,[AE Name],,,,
Client Legal Contact:,[Name / Title],,,,Delivery Lead:,[Name],,,,
Deal Value:,$0.00,,,,Target Close Date:,[Date],,,,
MAP Start Date:,[Date],,,,Last Updated:,[Date],,,,
MAP Version:,1.0,,,,,,,,,,
,,,,,,,,,,,
LEGEND,,,,,,,,,,,
Owner:,Provider | Client | Joint,,,,Status:,Not Started | In Progress | Complete | At Risk | Blocked,,,,,
,,,,,,,,,,,
#,Phase,Action Item,Owner,Role / Contact,Est. Days,Target Date,Completed Date,Status,Depends On,Success Criteria / Notes,Client-Facing,Forecast Milestone
1,Discovery & Scoping,Discovery / Scoping Call,Joint,"[AE] + [Client Champion]",1,[Date],,Not Started,—,"Meeting held; pain points documented; scope and goals understood by both parties. Identify key stakeholders, decision-making process, and internal timeline on client side.",Y,
2,Discovery & Scoping,Internal debrief & requirements summary,Provider,[AE] + [Solutions/Ops Team],1,[Date],,Not Started,1,"Internal alignment complete; scoping notes summarized; any open questions flagged for follow-up with client.",N,
3,Proposal Development,Build proposal with internal Ops team,Provider,[AE] + [Ops Team],5,[Date],,Not Started,2,"Proposal drafted covering scope, approach, pricing, and proposed timeline.",N,
4,Proposal Development,Internal proposal review & sign-off,Provider,[AE] + [Manager],1,[Date],,Not Started,3,"Proposal reviewed and approved internally. Pricing confirmed. Ready for client delivery.",N,
5,Proposal Presentation,Present proposal to client (with internal Ops team),Joint,"[AE] + [Ops] + [Client Champion] + [Stakeholders]",1,[Date],,Not Started,4,"Proposal presented in full. Client questions addressed. Both parties agree on next steps. *** KEY FORECAST MILESTONE ***",Y,Y
6,Proposal Presentation,Follow-up: address outstanding questions & objections,Joint,[AE] + [Client Champion],3,[Date],,Not Started,5,"All follow-up questions resolved. Client has full understanding of proposed scope and value.",Y,
7,Client Internal Review,"[TBD WITH CLIENT] Client shares proposal internally — map with client",Client,[Client Champion],TBD,[Date],,Not Started,5,"MAP WITH CLIENT: Who are the internal stakeholders that need to review? What is the internal sign-off process? What is a realistic timeline for internal review? Any known objections or concerns?",Y,
8,Client Internal Review,"[TBD WITH CLIENT] Client internal stakeholder review & alignment",Client,[Client Champion] + [Decision Makers],TBD,[Date],,Not Started,7,"All key internal stakeholders have reviewed the proposal. Champion has internal alignment to move forward.",Y,
9,Client Internal Review,Provider check-in / status update call,Joint,[AE] + [Client Champion],1,[Date],,Not Started,7,"Status confirmed. Any blockers or concerns surfaced and addressed. Next steps agreed upon.",Y,
10,Client Decision,"[TBD WITH CLIENT] Client provides verbal approval to proceed with formal SOW — map with client",Client,[Client Champion] + [Economic Buyer],TBD,[Date],,Not Started,8,"Verbal confirmation received that client wants to proceed to SOW. MAP WITH CLIENT: Who is the internal decision-maker? What does formal approval look like? Any additional approvals required (budget, legal, procurement)? *** KEY FORECAST MILESTONE ***",Y,Y
11,SOW Development,Build Statement of Work (SOW),Provider,[AE] + [Ops] + [Legal],5,[Date],,Not Started,10,"SOW drafted with full scope, deliverables, acceptance criteria, timelines, payment terms, and pricing.",N,
12,SOW Development,Build internal capacity & resource plan,Provider,[Ops] + [Resource Manager],3,[Date],,Not Started,10,"Resource plan completed. Delivery team tentatively identified. Capacity confirmed for proposed start date.",N,
13,SOW Development,Internal SOW review & approval,Provider,[AE] + [Manager] + [Legal],2,[Date],,Not Started,"11, 12","SOW reviewed and approved internally. All commercial and legal terms signed off. Ready for client delivery.",N,
14,SOW Review,Share SOW to client,Provider,[AE],1,[Date],,Not Started,13,"SOW delivered to client. Receipt confirmed. Client understands review timeline expectation. *** KEY FORECAST MILESTONE ***",Y,Y
15,SOW Review,"[TBD WITH CLIENT] Client SOW review — map with client",Client,"[Client Champion] + [Legal] + [Decision Makers]",TBD,[Date],,Not Started,14,"MAP WITH CLIENT: Who will review the SOW? Is procurement involved? What is a realistic review timeline? Are there any anticipated concerns or standard redline items?",Y,
16,SOW Review,Client SOW feedback / requested changes,Client,[Client Champion],TBD,[Date],,Not Started,15,"Client feedback received in writing. All requested changes are documented and prioritized.",Y,
17,SOW Review,Provider reviews & responds to client feedback,Provider,[AE] + [Ops] + [Legal],2,[Date],,Not Started,16,"Provider response to each item of feedback delivered. Open items logged with proposed resolutions.",Y,
18,SOW Review,SOW revision (if applicable),Provider,[Ops] + [Legal],2,[Date],,Not Started,17,"Revised SOW version produced incorporating agreed-upon changes. Version-controlled and logged.",N,
19,Contract Negotiations,Legal review initiated — Client,Client,[Client Legal],TBD,[Date],,Not Started,"14, 18","Client legal team engaged and reviewing final document. Point of contact confirmed.",Y,
20,Contract Negotiations,Legal review initiated — Provider,Provider,[Provider Legal],2,[Date],,Not Started,"14, 18","Provider legal team engaged. Internal review underway.",N,
21,Contract Negotiations,Contract redlines exchanged,Joint,[Both Legal Teams],3,[Date],,Not Started,"19, 20","All redlines and markup received from both parties. Negotiation underway.",Y,
22,Contract Negotiations,Final SOW & contract terms aligned,Joint,"[AE] + [Client Champion] + [Both Legal Teams]",2,[Date],,Not Started,21,"All contract terms agreed upon. No outstanding redlines. Both parties confirm readiness to execute. *** KEY FORECAST MILESTONE ***",Y,Y
23,Contract Execution,Final contract issued for signature,Provider,[AE] + [Legal],1,[Date],,Not Started,22,"Final executed version of contract sent to authorized signatory at client. Docusign (or equivalent) initiated.",Y,
24,Contract Execution,CONTRACT SIGNED — CLOSED WON,Joint,[Both Authorized Signatories],1,[Date],,Not Started,23,"Fully executed agreement received. Deal marked Closed Won in CRM. Revenue recognition triggered. Ops team notified. *** CLOSE DATE — PRIMARY FORECAST MILESTONE ***",Y,Y
25,Internal Preparation,Internal staffing alignment,Provider,[Resource Manager] + [Ops],2,[Date],,Not Started,24,"Delivery team formally assigned to account. Roles and responsibilities confirmed.",N,
26,Internal Preparation,Internal capacity & scheduling confirmation,Provider,[Ops] + [Delivery Team],2,[Date],,Not Started,25,"Team availability confirmed. Project schedule drafted. Start date locked.",N,
27,Internal Preparation,Internal handoff call,Provider,[AE] + [Ops] + [Delivery Team],1,[Date],,Not Started,26,"Sales-to-delivery handoff complete. All context, client background, commitments, and sensitivities transferred to delivery team.",N,
28,Internal Preparation,Project setup (systems / tools / access provisioning),Provider,[Ops] + [Delivery Team],2,[Date],,Not Started,27,"All internal systems configured. Project workspace ready. Any client-facing tools or access requests initiated.",N,
29,Client Onboarding,Kickoff call with client,Joint,"[Delivery Lead] + [Client Champion] + [Stakeholders]",1,[Date],,Not Started,"27, 28","Kickoff complete. Roles, responsibilities, communication cadence, and project schedule confirmed with client. *** KEY FORECAST MILESTONE ***",Y,Y
30,Client Onboarding,Onboarding begins,Joint,[Delivery Team] + [Client Team],Ongoing,[Date],,Not Started,29,"Onboarding tasks initiated. Client team actively engaged. Success metrics and check-in cadence established.",Y,
,,,,,,,,,,,
,,,,,,,,,,,
=== INTERNAL FORECAST SUMMARY — NOT FOR CLIENT DISTRIBUTION ===,,,,,,,,,,,
,,,,,,,,,,,
Deal Value (enter once):,$0.00,,,,,,,,,,
,,,,,,,,,,,
Milestone,Mapped Step,Target Date,Actual / Projected Date,CRM Deal Stage,Probability %,Weighted Forecast Value,Days to Close (from target),Notes,,,
Proposal Presented,Step 5,[Date],[Date],Proposal Presented,25%,[Deal Value * 25%],[Days],Indicates active evaluation. Both parties engaged.,,,
Verbal SOW Approval Received,Step 10,[Date],[Date],Verbal Commitment / SOW Requested,50%,[Deal Value * 50%],[Days],Strong buying signal. Map client's internal process to protect timeline.,,,
SOW Delivered to Client,Step 14,[Date],[Date],SOW Delivered,65%,[Deal Value * 65%],[Days],Late stage. Monitor client review timeline closely. Flag any procurement involvement.,,,
Contract Terms Fully Aligned,Step 22,[Date],[Date],Contract Negotiation Complete,80%,[Deal Value * 80%],[Days],Legal aligned. Close is imminent. Confirm signatory availability.,,,
CONTRACT SIGNED — CLOSE DATE,Step 24,[Date],[Date],Closed Won,100%,[Deal Value * 100%],[Days],"PRIMARY CLOSE DATE. Triggers revenue recognition, staffing activation, and project setup.",,,
Kickoff Complete,Step 29,[Date],[Date],Delivery Active,100%,[Deal Value * 100%],[Days],Revenue delivery has commenced. Account transitions to delivery team ownership.,,,
,,,,,,,,,,,
FORECASTING NOTES,,,,,,,,,,,
"1. Weighted Forecast Value = Deal Value × Probability %. Update Deal Value cell above and reference it in each row for a live weighted pipeline view.",,,,,,,,,,,
"2. Days to Close = Target Close Date (Step 24) minus today's date. Use a formula: =Step24TargetDate - TODAY()",,,,,,,,,,,
"3. At-Risk Flags: If any Forecast Milestone moves more than 7 days from its original target date, flag to AE and Ops leadership immediately.",,,,,,,,,,,
"4. Client-Facing Version: When sharing this MAP with the client, filter to rows where Client-Facing = Y. Hide the Forecast Milestone column and the entire Forecast Summary section.",,,,,,,,,,,
